Designator,Mid X,Mid Y,Rotation,Layer
D1,-44.524,42.8945,270.0,bottom
D10,12.499,30.9565,270.0,bottom
D11,31.549,28.6705,270.0,bottom
D12,42.725,36.9255,180.0,bottom
D13,-44.524,4.9215,270.0,bottom
D14,-25.474,4.9215,270.0,bottom
D15,-6.551,9.6205,270.0,bottom
D16,12.499,12.0335,270.0,bottom
D17,31.549,9.6205,270.0,bottom
D18,42.598,18.3835,180.0,bottom
D19,22.024,-9.9375,270.0,bottom
D2,-25.601,42.8945,270.0,bottom
D20,50.345,-1.1745,270.0,bottom
D21,53.52,-1.1745,270.0,bottom
D22,204.1605,53.6895,180.0,bottom
D23,193.093,47.4665,270.0,bottom
D24,174.043,47.5935,270.0,bottom
D25,155.12,50.0065,270.0,bottom
D26,136.07,47.5935,270.0,bottom
D27,117.02,46.5775,270.0,bottom
D28,204.1605,35.0205,180.0,bottom
D29,185.1605,35.0205,180.0,bottom
D3,-6.551,47.7205,270.0,bottom
D30,174.043,27.0195,270.0,bottom
D31,155.12,30.9565,270.0,bottom
D32,136.07,28.6705,270.0,bottom
D33,117.02,26.2575,270.0,bottom
D34,204.1605,15.9705,180.0,bottom
D35,185.1605,16.0975,180.0,bottom
D36,174.17,9.6205,270.0,bottom
D37,155.12,11.9065,270.0,bottom
D38,136.07,9.6205,270.0,bottom
D39,117.147,7.2075,270.0,bottom
D4,12.499,50.0065,270.0,bottom
D40,145.595,-8.7945,270.0,bottom
D41,101.399,-1.5555,270.0,bottom
D42,98.605,-1.5555,270.0,bottom
D5,31.803,50.5145,270.0,bottom
D6,33.962,50.5145,270.0,bottom
D7,-44.524,23.8445,270.0,bottom
D8,-25.474,23.8445,270.0,bottom
D9,-6.551,28.6705,270.0,bottom
J2,56.919,14.5175,0.0,top
J5_8,-52.64325,-1.6945,0.0,top
J5_7,-14.655,-1.6945,0.0,top
J5_6,-14.552,59.7155,0.0,top
J5_5,23.418,59.7155,0.0,top
J5_4,127.938,59.7055,0.0,top
J5_3,165.958,59.7155,0.0,top
J5_2,203.988,-1.7045,0.0,top
J5,165.988,-1.7045,0.0,top
J7,84.148,14.3755,0.0,top
SW1,-52.652,45.7655,0.0,bottom
SW10,4.348,33.8905,0.0,bottom
SW11,23.348,31.5155,0.0,bottom
SW12,42.348,29.1405,0.0,bottom
SW13,-52.652,7.7655,0.0,bottom
SW14,-33.652,7.7655,0.0,bottom
SW15,-14.652,12.5155,0.0,bottom
SW16,4.348,14.8905,0.0,bottom
SW17,23.348,12.5155,0.0,bottom
SW18,42.348,10.1405,0.0,bottom
SW19,13.848,-7.1095,0.0,bottom
SW2,-33.652,45.7655,0.0,bottom
SW20,34.848,-9.8595,15.0,bottom
SW21,57.098,-13.6095,300.0,bottom
SW22,203.845347,45.765068,0.0,bottom
SW23,184.845347,45.765068,0.0,bottom
SW24,165.845347,50.515068,0.0,bottom
SW25,146.845347,52.890068,0.0,bottom
SW26,127.845347,50.515068,0.0,bottom
SW27,108.845347,48.140068,0.0,bottom
SW28,203.845347,26.765068,0.0,bottom
SW29,184.845347,26.765068,0.0,bottom
SW3,-14.652,50.5155,0.0,bottom
SW30,165.845347,31.515068,0.0,bottom
SW31,146.845347,33.890068,0.0,bottom
SW32,127.845347,31.515068,0.0,bottom
SW33,108.845347,29.140068,0.0,bottom
SW34,203.845347,7.765068,0.0,bottom
SW35,184.845347,7.765068,0.0,bottom
SW36,165.845347,12.515068,0.0,bottom
SW37,146.845347,14.890068,0.0,bottom
SW38,127.845347,12.515068,0.0,bottom
SW39,108.845347,10.140068,0.0,bottom
SW4,4.348,52.8905,0.0,bottom
SW40,137.345347,-7.109932,0.0,bottom
SW41,116.345347,-9.859932,345.0,bottom
SW42,94.095347,-13.609932,60.0,bottom
SW5,23.348,50.5155,0.0,bottom
SW6,42.348,48.1405,0.0,bottom
SW7,-52.652,26.7655,0.0,bottom
SW8,-33.652,26.7655,0.0,bottom
SW9,-14.652,31.5155,0.0,bottom
U1,62.053,35.1255,0.0,top
U2,89.223347,34.999068,0.0,top
