Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","0805 1n4148 SOD-123","D3_TH",-44.524000,42.894500,-90.000000,bottom
"D2","0805 1n4148 SOD-123","D3_TH",-25.601000,42.894500,-90.000000,bottom
"D3","0805 1n4148 SOD-123","D3_TH",-6.551000,47.720500,-90.000000,bottom
"D4","0805 1n4148 SOD-123","D3_TH",12.499000,50.006500,-90.000000,bottom
"D5","0805 1n4148 SOD-123","D3_TH",31.803000,50.514500,-90.000000,bottom
"D6","0805 1n4148 SOD-123","D3_TH",33.962000,50.514500,-90.000000,bottom
"D7","0805 1n4148 SOD-123","D3_TH",-44.524000,23.844500,-90.000000,bottom
"D8","0805 1n4148 SOD-123","D3_TH",-25.474000,23.844500,-90.000000,bottom
"D9","0805 1n4148 SOD-123","D3_TH",-6.551000,28.670500,-90.000000,bottom
"D10","0805 1n4148 SOD-123","D3_TH",12.499000,30.956500,-90.000000,bottom
"D11","0805 1n4148 SOD-123","D3_TH",31.549000,28.670500,-90.000000,bottom
"D12","0805 1n4148 SOD-123","D3_TH",42.725000,36.925500,0.000000,bottom
"D13","0805 1n4148 SOD-123","D3_TH",-44.524000,4.921500,-90.000000,bottom
"D14","0805 1n4148 SOD-123","D3_TH",-25.474000,4.921500,-90.000000,bottom
"D15","0805 1n4148 SOD-123","D3_TH",-6.551000,9.620500,-90.000000,bottom
"D16","0805 1n4148 SOD-123","D3_TH",12.499000,12.033500,-90.000000,bottom
"D17","0805 1n4148 SOD-123","D3_TH",31.549000,9.620500,-90.000000,bottom
"D18","0805 1n4148 SOD-123","D3_TH",42.598000,18.383500,0.000000,bottom
"D19","0805 1n4148 SOD-123","D3_TH",22.024000,-9.937500,-90.000000,bottom
"D20","0805 1n4148 SOD-123","D3_TH",50.345000,-1.174500,-90.000000,bottom
"D21","0805 1n4148 SOD-123","D3_TH",53.520000,-1.174500,-90.000000,bottom
"D22","0805 1n4148 SOD-123","D3_TH",204.160500,53.689500,0.000000,bottom
"D23","0805 1n4148 SOD-123","D3_TH",193.093000,47.466500,-90.000000,bottom
"D24","0805 1n4148 SOD-123","D3_TH",174.043000,47.593500,-90.000000,bottom
"D25","0805 1n4148 SOD-123","D3_TH",155.120000,50.006500,-90.000000,bottom
"D26","0805 1n4148 SOD-123","D3_TH",136.070000,47.593500,-90.000000,bottom
"D27","0805 1n4148 SOD-123","D3_TH",117.020000,46.577500,-90.000000,bottom
"D28","0805 1n4148 SOD-123","D3_TH",204.160500,35.020500,0.000000,bottom
"D29","0805 1n4148 SOD-123","D3_TH",185.160500,35.020500,0.000000,bottom
"D30","0805 1n4148 SOD-123","D3_TH",174.043000,27.019500,-90.000000,bottom
"D31","0805 1n4148 SOD-123","D3_TH",155.120000,30.956500,-90.000000,bottom
"D32","0805 1n4148 SOD-123","D3_TH",136.070000,28.670500,-90.000000,bottom
"D33","0805 1n4148 SOD-123","D3_TH",117.020000,26.257500,-90.000000,bottom
"D34","0805 1n4148 SOD-123","D3_TH",204.160500,15.970500,0.000000,bottom
"D35","0805 1n4148 SOD-123","D3_TH",185.160500,16.097500,0.000000,bottom
"D36","0805 1n4148 SOD-123","D3_TH",174.170000,9.620500,-90.000000,bottom
"D37","0805 1n4148 SOD-123","D3_TH",155.120000,11.906500,-90.000000,bottom
"D38","0805 1n4148 SOD-123","D3_TH",136.070000,9.620500,-90.000000,bottom
"D39","0805 1n4148 SOD-123","D3_TH",117.147000,7.207500,-90.000000,bottom
