Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,0805 1n4148 SOD-123,D3_TH,30.3155,-48.791,-90,bottom
D2,0805 1n4148 SOD-123,D3_TH,49.2385,-48.791,-90,bottom
D3,0805 1n4148 SOD-123,D3_TH,68.2885,-43.965,-90,bottom
D4,0805 1n4148 SOD-123,D3_TH,87.3385,-41.679,-90,bottom
D5,0805 1n4148 SOD-123,D3_TH,106.6425,-41.171,-90,bottom
D6,0805 1n4148 SOD-123,D3_TH,108.8015,-41.171,-90,bottom
D7,0805 1n4148 SOD-123,D3_TH,30.3155,-67.841,-90,bottom
D8,0805 1n4148 SOD-123,D3_TH,49.3655,-67.841,-90,bottom
D9,0805 1n4148 SOD-123,D3_TH,68.2885,-63.015,-90,bottom
D10,0805 1n4148 SOD-123,D3_TH,87.3385,-60.729,-90,bottom
D11,0805 1n4148 SOD-123,D3_TH,106.3885,-63.015,-90,bottom
D12,0805 1n4148 SOD-123,D3_TH,117.5645,-54.76,180,bottom
D13,0805 1n4148 SOD-123,D3_TH,30.3155,-86.764,-90,bottom
D14,0805 1n4148 SOD-123,D3_TH,49.3655,-86.764,-90,bottom
D15,0805 1n4148 SOD-123,D3_TH,68.2885,-82.065,-90,bottom
D16,0805 1n4148 SOD-123,D3_TH,87.3385,-79.652,-90,bottom
D17,0805 1n4148 SOD-123,D3_TH,106.3885,-82.065,-90,bottom
D18,0805 1n4148 SOD-123,D3_TH,117.4375,-73.302,180,bottom
D19,0805 1n4148 SOD-123,D3_TH,96.8635,-101.623,-90,bottom
D20,0805 1n4148 SOD-123,D3_TH,125.1845,-92.86,-90,bottom
D21,0805 1n4148 SOD-123,D3_TH,128.3595,-92.86,-90,bottom
D22,0805 1n4148 SOD-123,D3_TH,279,-37.996,180,bottom
D23,0805 1n4148 SOD-123,D3_TH,267.9325,-44.219,-90,bottom
D24,0805 1n4148 SOD-123,D3_TH,248.8825,-44.092,-90,bottom
D25,0805 1n4148 SOD-123,D3_TH,229.9595,-41.679,-90,bottom
D26,0805 1n4148 SOD-123,D3_TH,210.9095,-44.092,-90,bottom
D27,0805 1n4148 SOD-123,D3_TH,191.8595,-45.108,-90,bottom
D28,0805 1n4148 SOD-123,D3_TH,279,-56.665,180,bottom
D29,0805 1n4148 SOD-123,D3_TH,260,-56.665,180,bottom
D30,0805 1n4148 SOD-123,D3_TH,248.8825,-64.666,-90,bottom
D31,0805 1n4148 SOD-123,D3_TH,229.9595,-60.729,-90,bottom
D32,0805 1n4148 SOD-123,D3_TH,210.9095,-63.015,-90,bottom
D33,0805 1n4148 SOD-123,D3_TH,191.8595,-65.428,-90,bottom
D34,0805 1n4148 SOD-123,D3_TH,279,-75.715,180,bottom
D35,0805 1n4148 SOD-123,D3_TH,260,-75.588,180,bottom
D36,0805 1n4148 SOD-123,D3_TH,249.0095,-82.065,-90,bottom
D37,0805 1n4148 SOD-123,D3_TH,229.9595,-79.779,-90,bottom
D38,0805 1n4148 SOD-123,D3_TH,210.9095,-82.065,-90,bottom
D39,0805 1n4148 SOD-123,D3_TH,191.9865,-84.478,-90,bottom
D40,0805 1n4148 SOD-123,D3_TH,220.4345,-100.48,-90,bottom
D41,0805 1n4148 SOD-123,D3_TH,176.2385,-93.241,-90,bottom
D42,0805 1n4148 SOD-123,D3_TH,173.4445,-93.241,-90,bottom
SW1,Kailh PG1350,ChocV1_V2_Hotswap,19.6925,-50.72,180,bottom
SW2,Kailh PG1350,ChocV1_V2_Hotswap,38.6925,-50.72,180,bottom
SW3,Kailh PG1350,ChocV1_V2_Hotswap,57.6925,-45.97,180,bottom
SW4,Kailh PG1350,ChocV1_V2_Hotswap,76.6925,-43.595,180,bottom
SW5,Kailh PG1350,ChocV1_V2_Hotswap,95.6925,-45.97,180,bottom
SW6,Kailh PG1350,ChocV1_V2_Hotswap,114.6925,-48.345,180,bottom
SW7,Kailh PG1350,ChocV1_V2_Hotswap,19.6925,-69.72,180,bottom
SW8,Kailh PG1350,ChocV1_V2_Hotswap,38.6925,-69.72,180,bottom
SW9,Kailh PG1350,ChocV1_V2_Hotswap,57.6925,-64.97,180,bottom
SW10,Kailh PG1350,ChocV1_V2_Hotswap,76.6925,-62.595,180,bottom
SW11,Kailh PG1350,ChocV1_V2_Hotswap,95.6925,-64.97,180,bottom
SW12,Kailh PG1350,ChocV1_V2_Hotswap,114.6925,-67.345,180,bottom
SW13,Kailh PG1350,ChocV1_V2_Hotswap,19.6925,-88.72,180,bottom
SW14,Kailh PG1350,ChocV1_V2_Hotswap,38.6925,-88.72,180,bottom
SW15,Kailh PG1350,ChocV1_V2_Hotswap,57.6925,-83.97,180,bottom
SW16,Kailh PG1350,ChocV1_V2_Hotswap,76.6925,-81.595,180,bottom
SW17,Kailh PG1350,ChocV1_V2_Hotswap,95.6925,-83.97,180,bottom
SW18,Kailh PG1350,ChocV1_V2_Hotswap,114.6925,-86.345,180,bottom
SW19,Kailh PG1350,ChocV1_V2_Hotswap,86.1925,-103.595,180,bottom
SW20,Kailh PG1350,ChocV1_V2_Hotswap,106.035183646917,-105.535690448657,-165,bottom
SW21,Kailh PG1350,ChocV1_V2_Hotswap_1.5u,134.846921938165,-109.855733382442,120,bottom
SW22,Kailh PG1350,ChocV1_V2_Hotswap,276.189847,-50.720432,180,bottom
SW23,Kailh PG1350,ChocV1_V2_Hotswap,257.189847,-50.720432,180,bottom
SW24,Kailh PG1350,ChocV1_V2_Hotswap,238.189847,-45.970432,180,bottom
SW25,Kailh PG1350,ChocV1_V2_Hotswap,219.189847,-43.595432,180,bottom
SW26,Kailh PG1350,ChocV1_V2_Hotswap,200.189847,-45.970432,180,bottom
SW27,Kailh PG1350,ChocV1_V2_Hotswap,181.189847,-48.345432,180,bottom
SW28,Kailh PG1350,ChocV1_V2_Hotswap,276.189847,-69.720432,180,bottom
SW29,Kailh PG1350,ChocV1_V2_Hotswap,257.189847,-69.720432,180,bottom
SW30,Kailh PG1350,ChocV1_V2_Hotswap,238.189847,-64.970432,180,bottom
SW31,Kailh PG1350,ChocV1_V2_Hotswap,219.189847,-62.595432,180,bottom
SW32,Kailh PG1350,ChocV1_V2_Hotswap,200.189847,-64.970432,180,bottom
SW33,Kailh PG1350,ChocV1_V2_Hotswap,181.189847,-67.345432,180,bottom
SW34,Kailh PG1350,ChocV1_V2_Hotswap,276.189847,-88.720432,180,bottom
SW35,Kailh PG1350,ChocV1_V2_Hotswap,257.189847,-88.720432,180,bottom
SW36,Kailh PG1350,ChocV1_V2_Hotswap,238.189847,-83.970432,180,bottom
SW37,Kailh PG1350,ChocV1_V2_Hotswap,219.189847,-81.595432,180,bottom
SW38,Kailh PG1350,ChocV1_V2_Hotswap,200.189847,-83.970432,180,bottom
SW39,Kailh PG1350,ChocV1_V2_Hotswap,181.189847,-86.345432,180,bottom
SW40,Kailh PG1350,ChocV1_V2_Hotswap,209.689847,-103.595432,180,bottom
SW41,Kailh PG1350,ChocV1_V2_Hotswap,190.017193479901,-106.827629483718,165,bottom
SW42,Kailh PG1350,ChocV1_V2_Hotswap_1.5u,163.530425061835,-105.534698617558,-120,bottom
